Division,Horse,Rider,Dressage,XC_Jump,XC_Time,SJ_Jump,SJ_Time,Final_Score,Rank
"Intermediate OI","Livingstone","HAWLEY BENNETT-AWAD",34.20,0,4.80,0,0.00,39.00,1
"Intermediate OI","Last Call","ALEXANDRA KNOWLES",39.20,0,3.20,4,0.00,46.40,2
"Intermediate OI","Rumor Hazit","JULIE A. BOYER",39.20,0,7.59,0,0.00,46.80,3
"Intermediate OI","Gin & Juice","HAWLEY BENNETT-AWAD",36.20,0,2.79,8,0.00,47.00,4
"Intermediate OI","Sherwood","LAUREN BROOKE",38.50,0,2.79,8,0.00,49.30,5
"Intermediate OI","Corner Street","ERIN SERAFINI SPOHR",40.80,0,0.80,8,0.00,49.60,6
"Intermediate OI","N/A","N/A",43.50,0,9.19,0,0.00,52.70,7
"Intermediate OI","Splendorofthesun","HAWLEY BENNETT-AWAD",39.60,0,4.01,12,0.00,55.60,8
"Intermediate OI","Hill Street","SARA UMPHENOUR",44.20,R,R,W,W,R,R
"Intermediate OI","Rise Against","RUBEN ARCE-IBARRA",48.90,40,28.79,W,W,W,W
"Intermediate OI","Estrella","ANDREA BAXTER",37.70,HC,HC,HC,HC,HC,HC
"Intermediate OI","Gallipoli II","TAMRA SMITH",41.20,R,R,W,W,R,R
"Intermediate OI","Ringwood Magister","TIANA COUDRAY",36.20,R,R,W,W,R,R
"Intermediate OI","El Capitan","ALICE C. SARNO",52.30,20,10.80,0,E,E,E
"Intermediate OI","Invictus","MARA NYDES",50.80,R,R,W,W,R,R
"Intermediate OI","Douglas","SUSAN FREDERICKS",49.20,R,R,W,W,R,R
"Intermediate OI","Killian III","ERIN WILEY",45.40,20,18.00,0,E,E,E
"Preliminary OP","R-Star","KRISTI M. NUNNINK",29.60,0,0.00,8,0.00,37.60,1
"Preliminary OP","Ballingowan Miller","JOHN MICHAEL DURR",38.80,0,0.00,0,0.00,38.80,2
"Preliminary OP","Good As Gold","JOLIE WENTWORTH",39.60,0,0.80,0,0.00,40.40,3
"Preliminary OP","Bonza Twist of Fate","ALEXANDRA KNOWLES",33.30,0,0.00,8,0.00,41.30,4
"Preliminary OP","Tiger III","ERIN R. KELLERHOUSE",34.20,0,0.00,8,0.00,42.20,5
"Preliminary OP","First Field","ERIN R. KELLERHOUSE",35.00,0,0.00,8,0.00,43.00,6
"Preliminary OP","Sir Donovan","NICHOLAS CWICK",36.30,0,4.80,4,0.00,45.10,7
"Preliminary OP","Danny California","KRISTI M. NUNNINK",37.50,0,0.00,8,0.00,45.50,8
"Preliminary OP","Goodknight","DAVID W. ACORD",43.80,0,6.80,0,0.00,50.60,9
"Preliminary OP","Tambo Unico","ANNE LINDLEY",39.20,0,4.00,8,0.00,51.20,10
"Preliminary OP","General Gonzo","ANDREA BAXTER",43.30,0,1.20,8,0.00,52.50,11
"Preliminary OP","Kennycourt Gambler","KEVIN KRESS",40.40,20,17.60,0,16,94.00,12
"Preliminary OP","Normandy Soldier","ELSIE PATTERSON",37.50,E,E,W,W,E,E
"Preliminary OP","P.S. Irish Treasure","AUBURN EXCELL BRADY",36.70,W,W,W,W,W,W
"Preliminary OP","Tim Buck Two","NICHOLAS CWICK",31.30,E,E,W,W,E,E
"Preliminary OP","Cyrus","BERT WOOD",47.10,W,W,W,W,W,W
"Preliminary OP","Country Swing","WANDA L. WEBB",39.60,W,W,W,W,W,W
"Preliminary OP","High Tower","ADRIENNE HILLAS",37.50,E,E,W,W,E,E
"Preliminary OPB","Never on Sunday","TIFFANY L. SILVERMAN",29.20,0,0.00,8,0.00,37.20,1
"Preliminary OPB","Phoenix Secret","JOHN MICHAEL DURR",39.20,0,0.00,4,0.00,43.20,2
"Preliminary OPB","Hoppi","VICKI MARTINEZ",38.80,0,5.19,0,0.00,44.00,3
"Preliminary OPB","Kilkenny Gold","AUBURN EXCELL BRADY",37.10,0,0.00,8,0.00,45.10,4
"Preliminary OPB","Fox Himself II","MARISSA WESSLUND",42.10,0,0.00,4,0.00,46.10,5
"Preliminary OPB","Fiat Lux","LINDSAY CONNORS",40.00,0,0.80,8,0.00,48.80,6
"Preliminary OPB","Vinny Can Go","RUTH BLEY",37.90,0,0.00,12,0.00,49.90,7
"Preliminary OPB","Arizona Blue","DAWN ROBBINS",32.50,20,3.59,4,0.00,60.10,8
"Preliminary OPB","Fade To Black II","CECIL MURRAY",36.70,0,18.39,8,0.00,63.10,9
"Preliminary OPB","Belmont Ballygowan","JILLIAN TERZIAN",41.30,0,12.00,8,9,70.30,10
