Division,Horse,Rider,D-S,XC-J,XC-T,SJ-J,SJ-T,S,P,Pts,U-Pts
[HT] Advanced A,Chaos Theory,TAMRA SMITH,41.7,0,6.4,0,8,56.1,1,12.0,--
[HT] Advanced A,Splendorofthesun,HAWLEY BENNETT-AWAD,41.3,0,4,8,7,60.3,2,10.0,--
[HT] Advanced A,Subway,OLIVIA LOIACONO,46.3,20,22.4,W,W,W,W,--,--
[HT] Advanced A,McTwist,JESSICA MONTGOMERY,44.6,HC,HC,12,6,HC,HC,--,--
[HT] Intermediate OI,Spike,ALEXIS A. HELFFRICH,33.1,0,5.2,0,0,38.3,1,6.0,--
[HT] Intermediate OI,Leyasta,ALEXIS A. HELFFRICH,31.2,0,10.4,0,4,45.6,2,5.0,--
[HT] Intermediate OI,R-Star,KRISTI M. NUNNINK,35.8,0,19.2,4,2,61,3,4.0,--
[HT] Intermediate OI,Obewon,MICHELLE HANF,46.2,0,12.4,12,23,93.6,4,0.0,--
[HT] Intermediate OI,Belmont Ballygowan,JILLIAN TERZIAN,43.5,20,20.8,24,12,120.3,5,0.0,--
[HT] Intermediate OI,Tiger III,ERIN R. KELLERHOUSE,35.8,HC,HC,4,0,HC,HC,--,--
[HT] Intermediate OI,Tim Buck Two,SHANNON P. LILLEY,39.2,E,E,--,--,E,E,--,--
[HT] Preliminary OP,Made Ya Look IV,LISA LEVINE,28.8,0,0,8,1,37.8,1,6.0,--
[HT] Preliminary OP,Ben Cruise,KELLY PRATHER,33.3,0,7.2,0,1,41.5,2,5.0,--
[HT] Preliminary OP,Reins for Justice,DAVID W. ACORD,40,0,3.2,0,0,43.2,3,4.0,--
[HT] Preliminary OP,Parfait,ERIN R. KELLERHOUSE,41.7,0,2.8,4,0,48.5,4,3.0,--
[HT] Preliminary OP,New Moon,CHELSEA SCHAEFER,32.9,0,5.2,12,1,51.1,5,0.0,--
[HT] Preliminary OP,Pallas Ballyowen,COURTNEY PILLA,36.3,0,10.8,4,0,51.1,6,0.0,--
[HT] Preliminary OP,Island Winds,SHIRLEY ARONSON,36.3,0,0,16,4,56.3,7,0.0,--
[HT] Preliminary OP,Fox Himself II,MARISSA WESSLUND,40.8,0,12.8,4,6,63.6,8,0.0,--
[HT] Preliminary OP,Cruise Imp,BETH MAHON BROWN,30.8,20,22,0,0,72.8,9,0.0,--
[HT] Preliminary OP,Bahrain Legacy,BETH MAHON BROWN,38.8,40,33.6,0,4,116.4,10,0.0,--
[HT] Preliminary OP,Double Click,MORGAN ROUNDTREE,40.8,E,E,--,--,E,E,--,--
[HT] Preliminary OP,Felix the Cat II,SUSAN FRIEND LETOURNEUR,42.5,E,E,--,--,E,E,--,--
[HT] Preliminary OP,Frequent Flyer,GINA M. SHAMAN,47.5,R,R,--,--,R,R,--,--
[HT] Preliminary OP,Quite Fetching,BUNNIE S. SEXTON,37.1,R,R,--,--,R,R,--,--
[HT] Preliminary OP,Look Sweet,DAVID P. KOSS,34.6,0,10.8,E,E,E,E,--,--
[HT] Preliminary OP,Taukalot,JORDAN BALLENGER,30,E,E,--,--,E,E,--,--
[HT] Preliminary P-CH,The Mistress II,SAMANTHA A. STEWART,33.3,0,0,0,0,33.3,1,3.0,--
[HT] Preliminary P-CH,Maseratti,WHITNEY TUCKER BILLETER,33.3,0,0,0,0,33.3,2,2.5,--
[HT] Preliminary P-CH,Goodknight,DAVID W. ACORD,37.9,0,4,0,0,41.9,3,2.0,--
[HT] Preliminary P-CH,Beaujolais Nouveau,KRISTEN ORTON,39.2,0,1.2,8,1,49.4,4,0.0,--
[HT] Preliminary P-CH,Cover Charge,ALEXA K. PERKIEL,40.4,0,0,12,0,52.4,5,0.0,--
[HT] Preliminary P-CH,Hoppi,VICKI MARTINEZ,45.8,0,4.8,0,3,53.6,6,0.0,--
[HT] Preliminary P-CH,Pele II,HILARY B. NIEMANN,35,20,0,0,0,55,7,0.0,--
[HT] Preliminary P-CH,Lucky Teddy,MAX GERDES,38.3,20,0,8,0,66.3,8,0.0,--
[HT] Preliminary P-CH,Harry Potter III,HANNAH CHILDS,40.4,E,E,--,--,E,E,--,--
[HT] Preliminary PR,Court Jester,FRANCES M. ANDERSON,34.2,0,0,4,0,38.2,1,6.0,--
[HT] Preliminary PR,InForAPound Dunvegan,GABRIEL AGUILAR,38.8,0,0,0,0,38.8,2,5.0,--
[HT] Preliminary PR,Kilkenny Star,JANINE S. HILL,41.3,0,0,4,0,45.3,3,4.0,--
[HT] Preliminary PR,Double Take,MORAYA CLEARY,41.7,0,9.6,4,0,55.3,4,0.0,--
[HT] Preliminary PR,Rikki Tikki Tavi,BRYN BYER,43.3,0,0,20,0,63.3,5,0.0,--
[HT] Preliminary PR,Willoughby Bay,JOY M. SIMON,47.5,0,16.8,0,1,65.3,6,0.0,--
[HT] Preliminary PR,Vinny Can Go,RUTH BLEY,43.3,0,0,16,8,67.3,7,0.0,--
[HT] Preliminary PR,Governess,KATE MILLER,38.8,20,20.8,4,12,95.6,8,0.0,--
[HT] Preliminary PR,Hail II,NATALIA K. NENEMAN,45.4,R,R,--,--,R,R,--,--
[HT] Preliminary PR,Ballingowan Pizazz,LINDSAY CONNORS,32.5,E,E,--,--,E,E,--,--
[HT] Preliminary PR,Bye Bye,MARALEE PAUL,46.3,E,E,--,--,E,E,--,--
[HT] Training JTR,Frequent Flyer VII,MADISON R. LLOYD,32.1,0,0,0,0,32.1,1,7.0,--
[HT] Training JTR,Just a L'il Bit,HALEY DWIGHT,32.1,0,0.4,0,0,32.5,2,6.0,--
[HT] Training JTR,Pikture This,KIMBERLY STEINBUCH,34.2,0,0,0,0,34.2,3,5.0,--
[HT] Training JTR,Doctor's Orders,REESE MASON,36.8,0,0,0,0,36.8,4,4.0,--
[HT] Training JTR,Perfectly Possible,WILLOW MCEVOY,30,0,0,8,0,38,5,3.0,--
[HT] Training JTR,Pretty in Pink,MALLORY THOMPSON,35.8,0,0,4,0,39.8,6,0.0,--
[HT] Training JTR,Mon Petit Nuage,KATHERINE S. MELLIS,40,0,0,0,0,40,7,0.0,--
[HT] Training JTR,Denim Blues,HANNA RAMLETH,37.9,0,0,4,0,41.9,8,0.0,--
[HT] Training JTR,Have A Drink On Me,JOHNITA LANNI-CRADIT,40,0,2.4,0,0,42.4,9,0.0,--
[HT] Training JTR,Alexa Blue,ANNE A. BENNETT,39.5,0,0,4,0,43.5,10,0.0,--
[HT] Training JTR,Sir Dudley,OLIVIA C. FRANCIS,39,0,6.8,0,0,45.8,11,0.0,--
[HT] Training JTR,Trilogy II,HAYLEY DEANE,36.8,0,5.2,0,8,50,12,0.0,--
[HT] Training JTR,Sophisticate,JULIAN HOMBURGER,43.2,0,0.8,8,0,52,13,0.0,--
[HT] Training JTR,Impish Grin,KATHERINE HOWARD,37.4,0,0.4,4,21,62.8,14,0.0,--
[HT] Training JTR,Cody's Crush,KAYLA TOBLER,40,0,10.8,4,17,71.8,15,0.0,--
