Event,Division,Competitor,D-S,XC-J,XC-T,SJ-J,SJ-T,S,P,Pts,U-Pts
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Advanced, A (Starters: 9)",Rumor Hazit / JULIE A. BOYER,27.5,0,12.4,0,2,41.9,1,12.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Advanced, A (Starters: 9)",Corner Street / KRISTI M. NUNNINK,30,0,18.8,0,2,50.8,2,10.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Advanced, A (Starters: 9)",Livingstone / ALEXANDRA KNOWLES,35.8,0,21.2,12,4,73,3,8.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Advanced, A (Starters: 9)",Bucephalus III / SHANNON P. LILLEY,35.8,20,19.6,8,2,85.4,4,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Advanced, A (Starters: 9)",Gin & Juice / HAWLEY BENNETT-AWAD,29.2,40,24.8,0,0,94,5,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Advanced, A (Starters: 9)",Last Call / ALEXANDRA KNOWLES,33.3,20,30.8,8,2,94.1,6,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Advanced, A (Starters: 9)",R-Star / KRISTI M. NUNNINK,28.3,W,W,--,--,W,W,--,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Advanced, A (Starters: 9)",Outlawed / JENNIFER T. KELLY,36.7,W,W,--,--,W,W,--,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Advanced, A (Starters: 9)",Indego / JENNIFER T. KELLY,36.3,W,W,--,--,W,W,--,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Intermediate, OI (Starters: 9)",Ringwood Magister / TIANA COUDRAY,21.2,0,8.4,0,0,29.6,1,6.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Intermediate, OI (Starters: 9)",Beaujolais Nouveau / KRISTEN ORTON,35.8,0,4.8,4,0,44.6,2,5.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Intermediate, OI (Starters: 9)",Copycat Chloe / KELLY PUGH,34.2,0,15.2,0,0,49.4,3,4.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Intermediate, OI (Starters: 9)",Look Sweet / DAVID P. KOSS,33.8,0,0,16,3,52.8,4,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Intermediate, OI (Starters: 9)",Parker / JAMES ALLISTON,42.3,0,6,12,3,63.3,5,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Intermediate, OI (Starters: 9)",Ballingowan Pizazz / LINDSAY CONNORS,37.7,20,20.8,0,0,78.5,6,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Intermediate, OI (Starters: 9)",Fox Himself II / MARISSA WESSLUND,51.9,0,23.2,12,10,97.1,7,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Intermediate, OI (Starters: 9)",Wise Equestrian Master Hill / ARIELLE ECCHER,28.1,60,23.6,12,1,124.7,8,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Intermediate, OI (Starters: 9)",InForAPound Dunvegan / GINA M. SHAMAN,48.5,R,R,--,--,R,R,--,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Preliminary, OP (Starters: 12)",Oscar of Penzance / EARL MCFALL,39.6,0,2.4,0,0,42,1,6.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Preliminary, OP (Starters: 12)",Annie Oakley III / KELLY PUGH,40.8,0,3.6,0,0,44.4,2,5.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Preliminary, OP (Starters: 12)",Coolnamara / JAMIE LAWRENCE,30.8,0,0,4,12,46.8,3,4.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Preliminary, OP (Starters: 12)",Castle View / KATHERINE S. MELLIS,35.4,0,5.6,4,6,51,4,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Preliminary, OP (Starters: 12)",Ballyquinn / JOLIE WENTWORTH,37.1,0,12,4,1,54.1,5,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Preliminary, OP (Starters: 12)",Out of the Box / REBECCA BRAITLING,43.3,0,8.8,4,0,56.1,6,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Preliminary, OP (Starters: 12)",Limerick II / TAREN HOFFOS,37.9,0,4,8,7,56.9,7,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Preliminary, OP (Starters: 12)",Quinn The Eskimo / LISA S. EVERETT,43.3,0,7.2,8,7,65.5,8,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Preliminary, OP (Starters: 12)",Sanssouci / YVES SAUVIGNON,37.1,20,8.8,0,0,65.9,9,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Preliminary, OP (Starters: 12)",KF MacGuinness / SARAH VERNLUND,43.8,20,10,4,0,77.8,10,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Preliminary, OP (Starters: 12)",V.E. Nikolaus / STEFANIE KRAL,42.1,R,R,--,--,R,R,--,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Preliminary, OP (Starters: 12)",C'czar / JOHN MICHAEL DURR,41.3,RF,RF,--,--,RF,RF,--,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Preliminary, PCH (Starters: 10)",Jude's Law / BETH MAHON BROWN,21.7,0,7.2,0,1,29.9,1,6.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Preliminary, PCH (Starters: 10)",Bonza Twist of Fate / TERESA HARCOURT,25.4,0,0,8,0,33.4,2,5.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Preliminary, PCH (Starters: 10)",Made Ya Look IV / LISA LEVINE,31.7,0,0,4,0,35.7,3,4.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Preliminary, PCH (Starters: 10)",Coup D'Etat / JOHN MICHAEL DURR,37.9,0,0,0,0,37.9,4,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Preliminary, PCH (Starters: 10)",Oz The Tin Man / KATHERINE GROESBECK,34.6,0,0,4,0,38.6,5,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Preliminary, PCH (Starters: 10)",Pele II / HILARY B. NIEMANN,40.4,0,0,0,0,40.4,6,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Preliminary, PCH (Starters: 10)",Governess / JOLIE WENTWORTH,33.3,0,7.6,0,3,43.9,7,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Preliminary, PCH (Starters: 10)",Court Jester / FRANCES M. ANDERSON,40,0,0,8,0,48,8,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Preliminary, PCH (Starters: 10)",Kiwi / EMILY S. CHRISTENSEN,40.8,0,3.2,12,3,59,9,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Preliminary, PCH (Starters: 10)",Matrix III / KEITH MALLETT,40,0,0,E,E,E,E,--,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Preliminary, PR (Starters: 18)",Marcus / SUE BUXTON,31.3,0,9.6,0,0,40.9,1,6.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Preliminary, PR (Starters: 18)",V.E. Nokia / KAYLEEN P. CROWLEY,40.8,0,0.4,0,0,41.2,2,5.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Preliminary, PR (Starters: 18)",Sexy Rexy / RUTH BLEY,35.4,0,2,4,0,41.4,3,4.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Preliminary, PR (Starters: 18)",Lucky Teddy / AMANDA VOLLE,38.3,0,0,4,0,42.3,4,3.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Preliminary, PR (Starters: 18)",Rikki Tikki Tavi / BRYN BYER,38.3,0,0,4,0,42.3,5,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Preliminary, PR (Starters: 18)",Bahrain Legacy / HILARY BATES,37.5,0,4,4,0,45.5,6,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Preliminary, PR (Starters: 18)",Stella Brava / STACEY J. WINTER,41.3,0,0,12,0,53.3,7,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Preliminary, PR (Starters: 18)",Tequesteris / NATALIA K. NENEMAN,40,0,13.2,0,4,57.2,8,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Preliminary, PR (Starters: 18)",The Perfect Storm / ALAINA HOWER,46.3,0,0,12,0,58.3,9,0.0,--
Woodside Eventing Fall H.T. (Oct 2005),"[HT] Preliminary, PR (Starters: 18)",Worthy Opponent V.E. / STEFANIE KRAL,35,0,8.4,12,7,62.4,10,0.0,--
