Division,Horse,Rider,D,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
"[HT] Intermediate, OI",Ebay,HELEN ALLISTON,32.7,0,0,0,0,32.7,1,
"[HT] Intermediate, OI",Staccato,JORDAN LINSTEDT,33.4,0,4.4,0,0,37.8,2,
"[HT] Intermediate, OI",Greenfort Carnival,SHANNON P. LILLEY,35.7,0,6,0,1,42.7,3,
"[HT] Intermediate, OI",Clementine,MADELYN C. FLOYD,37.3,0,5.6,8,0,50.9,4,
"[HT] Intermediate, OI",Ringwood Little Imp,KATHRYN CANARIO,35.5,0,17.2,0,0,52.7,5,
"[HT] Intermediate, OI",KF Escuda,JOLIE WENTWORTH,38.4,0,12.8,4,1,56.2,6,
"[HT] Intermediate, OI",Britannica MVNZ,KATHRYN CANARIO,43.2,0,10,8,0,61.2,7,
"[HT] Intermediate, OI",Drs Resolute,STEPHANIE GOODMAN,40.5,0,14.4,8,0,62.9,8,
"[HT] Intermediate, OI",Counterpoint,LAUREN G. BURNELL,32.5,20,20,0,1,73.5,9,
"[HT] Intermediate, OI",So Cool,MADDY MAZZOLA,36.4,20,17.2,0,0,73.6,10,
"[HT] Intermediate, OI",RF Lanacapri,GINA O. MILES,36.1,60,27.6,4,0,127.7,11,
"[HT] Intermediate, OI",Just Because,ASHLEY CARR,42.7,20,RF,RF,RF,RF,RF,
"[FEH] Yearling, FEH-1",Magnesium Overcast,JANINE W. JARO,,,,,,,82.5,1
"[FEH] Yearling, FEH-1",Twain's Fireflight DF,SARAH L. MOSELEY,,,,,,,80.3,2
"[FEH] 2 Year-old, FEH-2",Iluminada,EARL MCFALL,,,,,,,82.1,1
"[FEH] 2 Year-old, FEH-2",Last Jury by Judgement,EILEEN C. GRAVES,,,,,,,77.5,2
"[FEH] 2 Year-old, FEH-2",Reina Domani,GEMMA-CIELI RICHARDS,,,,,,,76.8,3
"[FEH] 2 Year-old, FEH-2",Qarat,EMMA VERBIST,,,,,,,76.7,4
"[FEH] 3 Year-old, FEH-3",Overdraft,MADISON R. LLOYD,,,,,,,80.2,1
"[FEH] 3 Year-old, FEH-3",Why Not Julian,TERI VOLLE,,,,,,,78.5,2
"[FEH] 3 Year-old, FEH-3",Bravehearts Renegade,BROOK MORRISON,,,,,,,76.5,3
"[HT] Preliminary, OP:A",Ganymede,MEG PELLEGRINI,27.6,0,0,0,0,27.6,1,
"[HT] Preliminary, OP:A",The Alchemist,JEANETTE M. GILBERT,32.8,0,0,0,0,32.8,2,
"[HT] Preliminary, OP:A",Rhythm Royale,SALLY A. PHILLIPS,34.1,0,0,8,2,44.1,3,
"[HT] Preliminary, OP:A",Stonehavens Royal Touch,TESS MOLINAR,32,0,9.2,4,1,46.2,4,
"[HT] Preliminary, OP:A",Sir Norman,TOMMY M. GREENGARD,33.3,0,10,8,3,54.3,5,
"[HT] Preliminary, OP:A",Redbull,INDIA MCEVOY,23,0,16,16,0,55,6,
"[HT] Preliminary, OP:A",Coming In Hot,AMELIA CHRISTIANSEN,35.4,0,21.2,0,0,56.6,7,
"[HT] Preliminary, OP:A",Louis Vuitton,LAUREN LOCKWOOD,32.2,0,2.4,12,15,61.6,8,
"[HT] Preliminary, OP:A",Obispo Street,RACHEL PERKISS,38.3,0,10,12,3,63.3,9,
"[HT] Preliminary, OP:A",Call It Magic,JENA TASSONE,32.2,0,9.2,16,7,64.4,10,
"[HT] Preliminary, OP:A",Leo,LIBBY PORZIG,40.9,20,33.2,0,4,98.1,11,
"[HT] Preliminary, OP:A",Bella Luna,RACHEL N. FOX,30.4,40,32.8,12,0,115.2,12,
"[HT] Preliminary, OP:A",Elite Envy,ASHLEY CARR,35.4,0,RF,RF,RF,RF,RF,
"[HT] Preliminary, OP:A",Zen,SHAELYN STEERE,31.1,0,RF,RF,RF,RF,RF,
"[HT] Preliminary, OP:A",Rochambeau,ASHLEY LONG,33.3,60,E,E,E,E,E,
"[HT] Preliminary, OP:A",Virghazi,ALISHA ODELL,38,20,15.6,0,RRR,RRR,RRR,
"[HT] Preliminary, OP:A",Young American,BAJIAN FERNALD,27,80,E,E,E,E,E,
"[HT] Preliminary, OP:B",Revitavet Capato,JORDAN LINSTEDT,23.7,0,0,0,0,23.7,1,
"[HT] Preliminary, OP:B",RevitaVet Oreo,JAMES ALLISTON,24.8,0,0,0,0,24.8,2,
"[HT] Preliminary, OP:B",Graceland's Lincoln,ALEXIS A. HELFFRICH,25.9,0,4,0,0,29.9,3,
"[HT] Preliminary, OP:B",Happiness Is,JOSH BARNACLE,32.6,0,3.6,0,0,36.2,4,
"[HT] Preliminary, OP:B",Utah B,SARAH ERTL,36.7,0,0,0,0,36.7,5,
"[HT] Preliminary, OP:B",Athlone Travel On,ERIN M. MURPHY,33.7,0,4,0,0,37.7,6,
"[HT] Preliminary, OP:B",Carolina Morning,STEPHANIE GOODMAN,32.6,0,2,4,0,38.6,7,
"[HT] Preliminary, OP:B",Rogadina,MADELEINE S. MOORE,35,0,7.2,0,0,42.2,8,
"[HT] Preliminary, OP:B",Stony Creek,LAUREN HENRY,33.3,0,4,8,0,45.3,9,
"[HT] Preliminary, OP:B",Three Kisses - Amalia,FREDERIC BOULAND,34.1,0,18.8,0,0,52.9,10,
"[HT] Preliminary, OP:B",Ringwoods Bariloche,TERESA KOROL,36.1,20,17.6,0,0,73.7,11,
"[HT] Preliminary, OP:B",RF Calypso,MARISSA WESSLUND,35.9,20,16.4,4,0,76.3,12,
