Event,Division,Competitor,D-S,XC-J,XC-T,SJ-J,SJ-T,S,P,Pts,U-Pts
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Advanced, A (Starters: 6)",Florestan du Serin / JOSH BARNACLE,38.3,0,18.8,12,9,78.1,1,12.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Advanced, A (Starters: 6)",I Spy / MARC GRANDIA,50.8,20,31.2,4,1,107,2,10.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Advanced, A (Starters: 6)",Uppercrust D / ANNA C. COLLIER,38.3,40,56.4,4,9,147.7,3,8.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Advanced, A (Starters: 6)",Vapor Trail / DAWN WHITE,37.9,E,E,W,W,E,E,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Advanced, A (Starters: 6)",Ballinakill Glory / KELLY PRATHER,33.3,E,E,W,W,E,E,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Advanced, A (Starters: 6)",Safari / ANNE CARR,37.9,R,R,W,W,R,R,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Intermediate, OI (Starters: 11)",Cooper / JENNIFER BRANNIGAN,27.7,0,11.2,0,0,38.9,1,12.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Intermediate, OI (Starters: 11)",Ringwood Magister / TIANA COUDRAY,25.8,0,21.2,0,2,49,2,10.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Intermediate, OI (Starters: 11)",Beacon Hill / MAXANCE MCMANAMY,35,0,12.4,4,0,51.4,3,8.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Intermediate, OI (Starters: 11)",Catch A Star / RACHEL DWYER,38.9,0,7.2,8,11,65.1,4,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Intermediate, OI (Starters: 11)",Last Call / ALEXANDRA KNOWLES,36.9,20,12.4,4,0,73.3,5,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Intermediate, OI (Starters: 11)",Renegade Reno / KATE GILLESPIE,36.9,60,30.4,12,0,139.3,6,0.0,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Intermediate, OI (Starters: 11)",Normandy Soldier / ELSIE PATTERSON,39.6,R,R,W,W,R,R,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Intermediate, OI (Starters: 11)",Tim Buck Two / SHANNON P. LILLEY,38.5,E,E,W,W,E,E,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Intermediate, OI (Starters: 11)",Candy / DAVID P. KOSS,36.9,W,W,W,W,W,W,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Intermediate, OI (Starters: 11)",Belmont Ballygowan / JILLIAN TERZIAN,39.2,R,R,W,W,R,R,--,--
Woodside Eventing Summer H.T. (Aug 2005),"[HT] Intermediate, OI (Starters: 11)",Gin & Juice / HAWLEY BENNETT-AWAD,34.2,R,R,W,W,R,R,--,--
