Division,Horse,Rider,D,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
"[TEST] Starter, JSR",Cre Ard Lady,ALIANA REISS,29.3,0,0,0,0,29.3,1,7.0
"[TEST] Starter, JSR",Even More Impressive,ROWAN THOMAS,32,0,0,0,0,32,2,6.0
"[TEST] Starter, JSR",Mother Teresa,PENELOPE R. PEJCHA,33.7,0,0,0,0,33.7,3,5.0
"[TEST] Starter, JSR",Little Bit of Trouble,MIA BEY,37,0,0,0,0,37,4,4.0
"[TEST] Starter, JSR",Mo,MATHILDE SALLEMBIEN,37,0,0,0,0,37,5,0.0
"[TEST] Starter, JSR",Picturesque Class Act,ALLYSON SHIEH,37.3,0,0,0,0,37.3,6,0.0
"[TEST] Starter, JSR",Casey's Shadow,EMERSEN B. PREBULA,39.7,0,0,0.4,0,40.1,7,0.0
"[TEST] Starter, JSR",Starting Over,ANGELA DOBEL,26,20,0,0,0,46,8,0.0
"[TEST] Starter, JSR",Take That,HARVEST RENFRO,40.3,0,7.6,0,0,47.9,9,0.0
"[TEST] Starter, JSR",Cantaro Junior,ANINA G. WINFREY,31.3,20,0,0,0,51.3,10,0.0
"[TEST] Starter, JSR",Secret Sauce,KAITLYNN RAMOS,38,0,0,12,10,60,11,0.0
"[TEST] Starter, JSR",Bo,LUNA PEROLLI,42.3,20,0,4,8,74.3,12,0.0
"[TEST] Starter, JSR",pocket pistol,LILLIAN BARNETT,41.7,20,2,4,6.8,74.5,13,0.0
"[TEST] Starter, JSR",Crazzy Cutie,PIPER RENFRO,29.3,60,0,0,0,89.3,14,0.0
"[TEST] Starter, JSR",Sweet Carolina,CHRISTINA FISHER,39,40,19.6,0,0,98.6,15,0.0
"[TEST] Starter, JSR",El Guapo,GENEVIEVE MOELLER,31.3,0,RF,4,0,RF,RF,0.0
"[TEST] Starter, JSR",Little Sure Shot,HANNAH KETCHERSIDE,27,-,-,-,-,W,W,0.0
"[TEST] Starter, SSR",Rodrigue Du Granit,MOHAMED MOSTAFA,28.7,0,0,0,0,28.7,1,7.0
"[TEST] Starter, SSR",Nellie,KRISTIN HERZOG,31.7,0,0,0,0,31.7,2,6.0
