Division,Horse,Rider,Dressage,XC_Jump_Pen,XC_Time_Pen,SJ_Jump_Pen,SJ_Time_Pen,Final_Score,Rank
"Preliminary, P:OPEN","Oceaner","DEREK DI GRAZIA",32.5,0,1.6,0,0.0,34.1,1
"Preliminary, P:OPEN","Quaver","SOFIA LOMBERA",34.5,0,2.4,0,0.0,36.9,2
"Preliminary, P:OPEN","Marengo","JANE DRUMMOND",39.5,0,0.8,0,0.0,40.3,3
"Preliminary, P:OPEN","Keen Eddie","TARA E. RICHARDSON",33.5,0,8.4,0,0.0,41.9,4
"Preliminary, P:OPEN","O'Ricardo","BEA DI GRAZIA",31.0,0,8.0,4,0.0,43.0,5
"Preliminary, P:OPEN","Finnegan's Wake","MAGGIE BRONSON",41.0,0,4.8,0,1.0,46.8,6
"Preliminary, P:OPEN","Paddy Winkler Lad","MOLLY MCALLISTER",40.5,0,0.0,8,2.0,50.5,7
"Preliminary, P:OPEN","Classique Kiss","LAURA FURNISS",38.0,0,10.8,0,3.0,51.8,8
"Preliminary, P:OPEN","Beaujolais Nouveau","KRISTEN ORTON",30.0,20,11.2,8,0.0,69.2,9
"Preliminary, P:OPEN","San Salvador","FIONA ALLEN",32.0,0,4.0,16,29.0,81.0,10
"Preliminary, P:OPEN","Get Shorty","BETH BARKER",32.0,40,29.6,4,0.0,105.6,11
"Preliminary, P:OPEN","Gulliver IV","MOLLY MCALLISTER",36.5,60,14.4,12,18.0,140.9,12
"Preliminary, P:OPEN","Cat Tracks","ALEXANDRA KNOWLES",36.0,60,36.8,16,3.0,151.8,13
"Preliminary, P:OPEN","Dutch V","STEPHEN C. TING",39.5,0,0.0,0,0.0,39.5,E
"Preliminary, P:OPEN","Summer Sailor","LUISA LOMBERA",34.5,0,0.0,8,18.0,60.5,E
"Training, T:JR RIDER","Siskiyou Jubilee","GABRIELLA M. SCHLESINGER-JAMES",35.0,0,0.0,0,0.0,35.0,1
"Training, T:JR RIDER","Sammy Dazzler","KAYLEEN P. CROWLEY",36.5,0,0.0,0,0.0,36.5,2
"Training, T:JR RIDER","Flying Encounter","MEREDITH M. RAGNO",36.5,0,0.0,0,0.0,36.5,3
"Training, T:JR RIDER","Avatar","PAETRA HENNIGAR",37.5,0,0.0,0,0.0,37.5,4
"Training, T:JR RIDER","Samadhi","CHLOE MCNALLY",33.0,0,0.0,8,0.0,41.0,5
"Training, T:JR RIDER","Spell Check","PETER G. KAUHANEN",39.5,0,1.6,0,0.0,41.1,6
"Training, T:JR RIDER","Misty Morning","EMI HANSEN",41.5,0,0.0,0,0.0,41.5,7
"Training, T:JR RIDER","Evening Star","CHRISTINE D. RITTHALER",37.5,0,0.0,4,0.0,41.5,8
