Division,Horse,Rider,Dressage,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
Preliminary:OPEN,Sir Dudley,SHANNON P. LILLEY,25.40,0,0.00,0,0.00,25.40,16.0,--
Preliminary:OPEN,Mastercopy,LAURA FURNISS,35.80,0,0.00,4,6.00,45.80,25.0,--
Preliminary:OPEN,ERISA Edward Jordan,DAVID ADAMO,34.60,0,3.20,4,5.00,46.80,34.0,--
Preliminary:OPEN,Oso Proudly,SUZANNE BROCK,43.80,0,4.00,4,0.00,51.80,40.0,--
Preliminary:OPEN,Look Sweet,VICKY KOSS,36.30,0,12.40,12,2.00,62.70,50.0,--
Preliminary:OPEN,Anthony Tiger,ARIELLE ECCHER,37.90,0,8.80,16,3.00,65.70,60.0,--
Preliminary:OPEN,For Kicks,KELLY PUGH,37.50,20,7.20,0,3.00,67.70,70.0,--
Preliminary:OPEN,Cat Tracks,ALEXANDRA KNOWLES,30.80,0,0.00,28,12.00,70.80,80.0,--
Preliminary:OPEN,Get Shorty,BETH BARKER,29.20,40,20.40,0,4.00,93.60,90.0,--
Preliminary:OPEN,FDF Riverina,SUSANNA HOLDER,31.70,40,27.20,12,8.00,118.90,100.0,--
Preliminary:OPEN,First Offer,ALANA AMACK,32.10,40,30.40,12,6.00,120.50,110.0,--
Preliminary:OPEN,Ketel One,SHANNON P. LILLEY,41.70,40,32.00,24,19.00,156.70,120.0,--
Preliminary:OPEN,Sirius Black III,ANN E. BYRON,30.00,0,0.00,4,0.00,34.00,W,--
Preliminary:OPEN,Tim Buck Two,NICHOLAS CWICK,40.00,0,0.00,12,11.00,63.00,E,--
Preliminary:OPEN,Mon Petit Nuage,VALERIE BELOT,37.50,0,0.00,24,3.00,64.50,W,--
Preliminary:RIDER,Granite Falls,SARA DUKKER,38.30,0,0.00,4,5.00,47.30,16.0,--
Preliminary:RIDER,Will Power,TRACY JAMES,32.10,0,4.40,8,4.00,48.50,25.0,--
Preliminary:RIDER,Good As Gold,KATE MILLER,32.50,0,6.40,8,9.00,55.90,34.0,--
