Event,Division,Competitor,D-S,XC-J,XC-T,SJ-J,SJ-T,S,P,Pts,U-Pts
Woodside Spring H.T. (May 2006),"[HT] Preliminary, OPA (Starters: 11)",Ben Cruise / DAVID P. KOSS,36.3,0,5.2,0,0,41.5,1,6.0,--
Woodside Spring H.T. (May 2006),"[HT] Preliminary, OPA (Starters: 11)",Penelope Pitstop / LAVINIA JOHNSTON,41.3,0,2.8,0,0,44.1,2,5.0,--
Woodside Spring H.T. (May 2006),"[HT] Preliminary, OPA (Starters: 11)",Caruso 202 / AUBURN EXCELL BRADY,42.1,0,2.8,0,0,44.9,3,4.0,--
Woodside Spring H.T. (May 2006),"[HT] Preliminary, OPA (Starters: 11)",Snap Decision II / JEANINE K. ALLRED,33.3,0,13.6,0,6,52.9,4,0.0,--
Woodside Spring H.T. (May 2006),"[HT] Preliminary, OPA (Starters: 11)",FDF Riverina / SUSANNA HOLDER,35.8,0,15.6,4,4,59.4,5,0.0,--
Woodside Spring H.T. (May 2006),"[HT] Preliminary, OPA (Starters: 11)",Ballingowan Pizazz / LINDSAY CONNORS,32.1,20,12,0,2,66.1,6,0.0,--
Woodside Spring H.T. (May 2006),"[HT] Preliminary, OPA (Starters: 11)",Porto Banus / COURTNEY OLENIK,46.7,20,7.2,0,0,73.9,7,0.0,--
Woodside Spring H.T. (May 2006),"[HT] Preliminary, OPA (Starters: 11)",NVR Peter The Great / CAROLYN HOFFOS,37.5,20,20,4,3,84.5,8,0.0,--
Woodside Spring H.T. (May 2006),"[HT] Preliminary, OPA (Starters: 11)",Cartier / BROOKE GIBSON,38.8,E,E,4,1,E,E,--,--
Woodside Spring H.T. (May 2006),"[HT] Preliminary, OPA (Starters: 11)",Taukalot / JORDAN BALLENGER,30.4,--,0,E,E,E,E,--,--
Woodside Spring H.T. (May 2006),"[HT] Preliminary, OPA (Starters: 11)",Irish Promise / REBECCA FARLEY,48.3,--,0,E,E,E,E,--,--
Woodside Spring H.T. (May 2006),"[HT] Preliminary, OPB (Starters: 11)",Candy / LEXY ALEXANDRA FUNK,28.8,0,6.8,4,3,42.6,1,6.0,--
Woodside Spring H.T. (May 2006),"[HT] Preliminary, OPB (Starters: 11)",Kilkenny Gold / AUBURN EXCELL BRADY,35.8,0,3.2,4,0,43,2,5.0,--
Woodside Spring H.T. (May 2006),"[HT] Preliminary, OPB (Starters: 11)",Look Sweet / DAVID P. KOSS,33.3,0,2.8,4,5,45.1,3,4.0,--
Woodside Spring H.T. (May 2006),"[HT] Preliminary, OPB (Starters: 11)",Kiwi / EMILY S. CHRISTENSEN,43.3,0,2,12,0,57.3,4,0.0,--
Woodside Spring H.T. (May 2006),"[HT] Preliminary, OPB (Starters: 11)",Just Watch Me / ALEXANDRA CHOU,37.1,0,6,28,0,71.1,5,0.0,--
Woodside Spring H.T. (May 2006),"[HT] Preliminary, OPB (Starters: 11)",Vinny Can Go / RUTH BLEY,38.3,20,12,8,0,78.3,6,0.0,--
Woodside Spring H.T. (May 2006),"[HT] Preliminary, OPB (Starters: 11)",Copycat Chloe / KELLY PUGH,35.8,20,24.8,0,0,80.6,7,0.0,--
Woodside Spring H.T. (May 2006),"[HT] Preliminary, OPB (Starters: 11)",Impish Grin / KATHERINE HOWARD,42.5,40,40.8,0,0,123.3,8,0.0,--
Woodside Spring H.T. (May 2006),"[HT] Preliminary, OPB (Starters: 11)",Borneo Wigwam / HILARY BATES,40.8,60,36.4,4,2,143.2,9,0.0,--
Woodside Spring H.T. (May 2006),"[HT] Preliminary, OPB (Starters: 11)",Winchester / CAMILLE POWELL,39.6,--,0,W,W,W,W,--,--
Woodside Spring H.T. (May 2006),"[HT] Preliminary, OPB (Starters: 11)",Ballingowan Miller / JOHN MICHAEL DURR,38.8,W,W,4,0,W,W,--,--
Woodside Spring H.T. (May 2006),"[HT] Training, JTR (Starters: 10)",Fen Cera / DANIELLE MCKINLEY,35.8,0,0,0,0,35.8,1,5.0,--
Woodside Spring H.T. (May 2006),"[HT] Training, JTR (Starters: 10)",Sixpence / BRYNN LITTLEHALE,34.7,0,0,12,0,46.7,2,4.0,--
Woodside Spring H.T. (May 2006),"[HT] Training, JTR (Starters: 10)",Kalypso's Page / ALEXA WOLF,47.4,0,0,0,0,47.4,3,3.0,--
Woodside Spring H.T. (May 2006),"[HT] Training, JTR (Starters: 10)",Erin's Luck / ERIN EISNER,41.1,0,9.6,4,0,54.7,4,2.0,--
Woodside Spring H.T. (May 2006),"[HT] Training, JTR (Starters: 10)",Tradewinds / SUMMER LESTER,44.2,0,20.8,0,0,65,5,1.0,--
Woodside Spring H.T. (May 2006),"[HT] Training, JTR (Starters: 10)",Kept Secret / AMANDA LARSEN,48.4,20,33.6,0,4,106,6,0.0,--
Woodside Spring H.T. (May 2006),"[HT] Training, JTR (Starters: 10)",Bella Fiebre / REBECCA HAMMOND,44.2,60,17.2,0,0,121.4,7,0.0,--
Woodside Spring H.T. (May 2006),"[HT] Training, JTR (Starters: 10)",Allegra / SYDNEE HYMAN,46.8,--,0,TE,TE,TE,TE,--,--
Woodside Spring H.T. (May 2006),"[HT] Training, JTR (Starters: 10)",Imperial Heights / SALLY GROSS,47.4,R,R,8,9,R,R,--,--
Woodside Spring H.T. (May 2006),"[HT] Training, JTR (Starters: 10)",Never Late For Honey / RACHEL COLEMAN-HUNT,43.7,--,0,E,E,E,E,--,--
Woodside Spring H.T. (May 2006),"[HT] Training, JTRB (Starters: 11)",High Expectations / KELLIE GRIGG,28.4,0,0,4,0,32.4,1,6.0,--
Woodside Spring H.T. (May 2006),"[HT] Training, JTRB (Starters: 11)",Sir Dudley / OLIVIA C. FRANCIS,34.2,0,0,0,0,34.2,2,5.0,--
Woodside Spring H.T. (May 2006),"[HT] Training, JTRB (Starters: 11)",Sight Unseen / VICTORIA HOWE,39,0,0,0,0,39,3,4.0,--
Woodside Spring H.T. (May 2006),"[HT] Training, JTRB (Starters: 11)",Promising Future / JESSICA M. ELLIS,43.2,0,0,0,0,43.2,4,3.0,--
Woodside Spring H.T. (May 2006),"[HT] Training, JTRB (Starters: 11)",Sirius Black III / ALAINA HOWER,37.4,0,3.6,4,0,45,5,2.0,--
Woodside Spring H.T. (May 2006),"[HT] Training, JTRB (Starters: 11)",Kansas City / ADDISON JOHNSON,44.2,0,1.6,0,0,45.8,6,0.0,--
Woodside Spring H.T. (May 2006),"[HT] Training, JTRB (Starters: 11)",Castle View / KATHERINE S. MELLIS,39,0,3.2,0,4,46.2,7,0.0,--
Woodside Spring H.T. (May 2006),"[HT] Training, JTRB (Starters: 11)",Jimmy Chou / CLAIRE H. SMITH,35.8,0,20,4,0,59.8,8,0.0,--
Woodside Spring H.T. (May 2006),"[HT] Training, JTRB (Starters: 11)",Memoferu / KARINA QUINLAN,44.7,0,0,16,0,60.7,9,0.0,--
