Division,Horse,Rider,D,SXC,JXC,TSJ,JSJ,TSP,Pts
"[HT] Advanced, A","Rumor Hazit","JULIE A. BOYER",27.5,0,12.4,2,4,41.9,112.0
"[HT] Advanced, A","Corner Street","KRISTI M. NUNNINK",30,0,18.8,2,5,50.8,210.0
"[HT] Advanced, A","Livingstone","ALEXANDRA KNOWLES",35.8,0,21.2,1,2,47,338.0
"[HT] Advanced, A","Bucephalus III","SHANNON P. LILLEY",35.8,20,19.6,8,2,85.4,40.0
"[HT] Advanced, A","Gin & Juice","HAWLEY BENNETT-AWAD",29.2,40,24.8,0,0,94,50.0
"[HT] Advanced, A","Last Call","ALEXANDRA KNOWLES",33.3,20,30.8,8,2,94.1,60.0
"[HT] Advanced, A","Outlawed","JENNIFER T. KELLY",36.7,WW,,,WW,,
"[HT] Advanced, A","Indego","JENNIFER T. KELLY",36.3,WW,,,WW,,
"[HT] Advanced, A","R-Star","KRISTI M. NUNNINK",28.3,WW,,,WW,,
"[HT] Intermediate, OI","Ringwood Magister","TIANA COUDRAY",21.2,0,8.4,0,0,29.6,16.0
"[HT] Intermediate, OI","Beaujolais Nouveau","KRISTEN ORTON",35.8,0,4.8,4,0,44.6,25.0
"[HT] Intermediate, OI","Copycat Chloe","KELLY PUGH",34.2,0,15.2,0,0,49.4,34.0
"[HT] Intermediate, OI","Look Sweet","DAVID P. KOSS",33.8,0,0,16,3,52.8,40.0
"[HT] Intermediate, OI","Parker","JAMES ALLISTON",42.3,0,6,12,3,63.3,50.0
"[HT] Intermediate, OI","Ballingowan Pizazz","LINDSAY CONNORS",37.7,20,20.8,0,0,78.5,60.0
"[HT] Intermediate, OI","Fox Himself II","MARISSA WESSLUND",51.9,0,23.2,12,10,97.1,70.0
"[HT] Intermediate, OI","Wise Equestrian Master Hill","ARIELLE ECCHER",28.1,60,23.6,12,1,124.7,80.0
"[HT] Intermediate, OI","InForAPound Dunvegan","GINA M. SHAMAN",48.5,RR,,,RR,,
"[HT] Preliminary, OP","Oscar of Penzance","EARL MCFALL",39.6,0,2.4,0,0,42,16.0
"[HT] Preliminary, OP","Annie Oakley III","KELLY PUGH",40.8,0,3.6,0,0,44.4,25.0
"[HT] Preliminary, OP","Coolnamara","JAMIE LAWRENCE",30.8,0,0,4,12,46.8,34.0
"[HT] Preliminary, OP","Castle View","KATHERINE S. MELLIS",35.4,0,5.6,4,6,51,40.0
"[HT] Preliminary, OP","Ballyquinn","JOLIE WENTWORTH",37.1,0,12,4,1,54.1,50.0
"[HT] Preliminary, OP","Out of the Box","REBECCA BRAITLING",43.3,0,8.8,4,0,56.1,60.0
"[HT] Preliminary, OP","Limerick II","TAREN HOFFOS",37.9,0,4,8,7,56.9,70.0
"[HT] Preliminary, OP","Quinn The Eskimo","LISA S. EVERETT",43.3,0,7.2,8,7,65.5,80.0
"[HT] Preliminary, OP","Sanssouci","YVES SAUVIGNON",37.1,20,8.8,0,0,65.9,90.0
