Division,Horse,Rider,D,SXC,JXC,TSJ,JSJ,TSP,Pts,U-Pts
"[HT] Advanced, A",Stag Party,CHLOE E. SMYTH,39.1,0,15.2,0,12,66.3,1,
"[HT] Advanced, A",Diego,LAUREN LOPICCOLO,37.0,0,24.4,8,0,69.4,2,
"[HT] HT 4-Star, CCI4-S",Danito,TAMRA SMITH,26.0,0,7.6,0,0,33.6,1,
"[HT] HT 4-Star, CCI4-S",Woodford Reserve,ERIN R. KELLERHOUSE,27.6,0,4.8,4,0,36.4,2,
"[HT] HT 4-Star, CCI4-S",Jakobi,EMILEE LIBBY,33.3,0,10.4,0,0,43.7,3,
"[HT] HT 4-Star, CCI4-S",Castle Larchfield Purdy,LAUREN BILLYS,31.6,0,12.4,0,0,44.0,4,
"[HT] HT 4-Star, CCI4-S",Paper Jam,JAMES ALLISTON,37.5,0,12.4,4,0,53.9,5,
"[HT] HT 4-Star, CCI4-S",En Vogue,TAMRA SMITH,29.1,0,4.4,20,2.8,56.3,6,
"[HT] HT 4-Star, CCI4-S",Quidproquo,SOPHIA L. CLICK,33.2,0,32.4,4,0.4,70.0,7,
"[HT] HT 4-Star, CCI4-S",Indy 500,ANDREA BAXTER,33.9,20,16.4,0,0,70.3,8,
"[HT] HT 4-Star, CCI4-S",Cinzano,AMBER BIRTCIL,32.3,20,20.4,16,0,88.7,9,
"[HT] HT 4-Star, CCI4-S",Undercover,HILARY BURKEMPER,38.9,0,W,0,W,W,,
"[HT] HT 4-Star, CCI4-S",Passepartout,TAMRA SMITH,32.3,0,W,0,W,W,,
"[HT] HT 4-Star, CCI4-S",2 A.M.,CHARLOTTE BABBITT,33.5,60,E,0,E,E,,
"[HT] HT 4-Star, CCI4-S",Fleeceworks Royal,TAMRA SMITH,27.3,0,TE,0,TE,TE,,
"[HT] HT 4-Star, CCI4-S",Ebay,HELEN ALLISTON,32.7,0,W,8,W,W,,
"[HT] HT 4-Star, CCI4-S",Ringwood Justice,DEREK DI GRAZIA,28.9,20,R,4,R,R,,
"[HT] HT 3-Star, CCI3-S",Solaguayre California,TAMRA SMITH,28.2,0,8.4,0,0,36.6,1,
"[HT] HT 3-Star, CCI3-S",Caravaggio II,REBECCA BRAITLING,33.8,0,3.6,0,0,37.4,2,
"[HT] HT 3-Star, CCI3-S",Elliot-V,TAMRA SMITH,30.1,0,12.0,0,0,42.1,3,
"[HT] HT 3-Star, CCI3-S",Fool Me Once,ALESSANDRA D. ALLEN-SHINN,38.6,0,4.4,4,0,47.0,4,
