Division,Horse,Rider,Dressage,XC_Jump_Pen,XC_Time_Pen,SJ_Jump_Pen,SJ_Time_Pen,Final_Score,Rank,event_info
"Intermediate, OI",Quito 10,DEBORAH ROSEN,41,0,23.2,0,1,65.2,1,aug2005_woodside_summerHT.txt
"Intermediate, OI",Merlin XV,ANNE LINDLEY,36.5,0,20.4,4,5,65.9,2,aug2005_woodside_summerHT.txt
"Intermediate, OI",Lady Calido,YVES SAUVIGNON,34,20,9.2,4,0,67.2,3,aug2005_woodside_summerHT.txt
"Intermediate, OI",Killian O'Connor,JOLIE WENTWORTH,38,20,10.4,0,0,68.4,4,aug2005_woodside_summerHT.txt
"Intermediate, OI",Balabooga Brawley,GREGORY STRITZEL,42.5,20,6.4,4,0,72.9,5,aug2005_woodside_summerHT.txt
"Intermediate, OI",Outlawed,JENNIFER T. KELLY,42,0,29.2,0,5,76.2,6,aug2005_woodside_summerHT.txt
"Intermediate, OI",Audacity,KEVIN BAUMGARDNER,46.5,20,20.4,0,0,86.9,7,aug2005_woodside_summerHT.txt
"Intermediate, OI",Oh Good Grief,DAVID ADAMO,41.5,20,14,12,0,87.5,8,aug2005_woodside_summerHT.txt
"Intermediate, OI",NZ Swag,ASIA H. VEDDER,38,20,26.4,12,5,101.4,9,aug2005_woodside_summerHT.txt
"Intermediate, OI",Logan,COURTNEY LEONARD,36,40,20,0,6,102,10,aug2005_woodside_summerHT.txt
"Intermediate, OI",Malik,JAMIE LAWRENCE,38.5,60,19.6,0,0,118.1,11,aug2005_woodside_summerHT.txt
"Intermediate, OI",Indego,JENNIFER T. KELLY,37.5,40,32.4,8,4,121.9,12,aug2005_woodside_summerHT.txt
"Intermediate, OI",Teddy,CARRIE CARSTAIRS,37,40,26,24,0,127,13,aug2005_woodside_summerHT.txt
"Intermediate, OI",Coolnamara,JAMIE LAWRENCE,36,85,36.4,8,0,165.4,14,aug2005_woodside_summerHT.txt
"Intermediate, OI",Never on Sunday,TIFFANY L. SILVERMAN,36.5,0,0,0,0,36.5,W,aug2005_woodside_summerHT.txt
"Intermediate, OI",Rouge Et Noir,KRISTEN ORTON,40.5,0,0,0,0,40.5,E,aug2005_woodside_summerHT.txt
"Intermediate, OI",Macy,SUSANNE ROWLAND,40.5,0,0,0,0,40.5,W,aug2005_woodside_summerHT.txt
"Intermediate, OI",Abner,BRITT RODEN,42.5,0,0,0,0,42.5,E,aug2005_woodside_summerHT.txt
"Intermediate, OI",Milson's Point,TIFFANY L. SILVERMAN,44.5,0,0,0,0,44.5,R,aug2005_woodside_summerHT.txt
"Intermediate, OI",Easy Strike,MIRA BULLEN,47,0,0,0,0,47,E,aug2005_woodside_summerHT.txt
"Intermediate, OI",Skywalker IV,ANDREA BAXTER,49.5,0,0,0,0,49.5,E,aug2005_woodside_summerHT.txt
"Intermediate, OI",Hoppi,VICKI MARTINEZ,51.5,0,0,0,0,51.5,E,aug2005_woodside_summerHT.txt
"Preliminary, OP:A",July Fourth,SHANNON P. LILLEY,39,0,0.4,0,0,39.4,1,aug2005_woodside_summerHT.txt
